Date,Price
20181207,2653.0100
20181206,2655.8000
20181205,2647.4200
20181204,2623.7800
20181201,2610.6600
20181130,2627.4700
20181129,2611.1500
20181128,2630.2100
20181127,2622.8900
20181124,2580.2300
20181123,2590.7500
20181122,2595.2400
20181121,2579.1200
20181120,2596.6300
20181117,2579.5900
20181116,2592.8000
20181115,2626.5700
20181114,2605.8700
20181113,2620.4300
20181110,2620.0600
20181109,2604.5700
20181108,2624.3600
20181107,2619.9400
20181103,2604.9800
20181102,2581.9700
20181101,2568.0900
20181031,2579.9200
20181030,2604.1800
20181027,2608.3100
20181026,2604.5600
20181025,2598.8400
20181024,2594.4700
20181023,2567.6600
20181020,2598.9400
20181019,2587.6600
20181018,2579.5400
20181017,2589.0100
20181016,2606.4800
20181013,2585.1500
20181012,2578.5100
20181011,2524.4700
20181010,2534.9900
20181009,2572.5100
20181006,2572.8800
20181005,2553.3300
20181004,2531.4900
20181003,2500.9100
20181002,2498.9300
20180929,2495.7500
20180928,2531.5200
20180927,2534.4800
20180926,2538.4000
20180925,2549.8300
20180922,2572.1600
20180921,2570.9800
20180920,2591.7600
20180919,2612.6200
20180918,2624.0400
20180915,2648.0100
20180914,2662.7500
20180913,2679.2600
20180912,2686.1700
20180911,2686.1500
20180908,2664.8500
20180907,2642.6000
20180906,2629.6900
20180905,2624.7300
20180904,2617.3400
20180901,2640.2100
20180831,2631.8100
20180830,2638.5200
20180829,2627.6300
20180828,2595.2200
20180825,2593.5400
20180824,2615.8100
20180823,2601.8500
20180822,2579.0500
20180821,2567.5900
20180818,2530.0300
20180817,2537.0300
20180816,2532.5100
20180815,2565.3200
20180814,2641.7700
20180811,2606.4100
20180810,2590.3900
20180809,2478.8000
20180808,2482.9900
20180807,2474.2900
20180804,2463.8500
20180803,2471.5600
20180802,2459.3400
20180801,2443.9900
20180731,2466.6300
20180728,2468.3100
20180727,2485.9300
20180726,2495.7800
20180725,2476.8000
20180724,2497.9800
20180721,2500.1800
20180720,2476.5900
20180719,2474.1800
20180718,2496.4200
20180717,2491.7500
20180714,2484.4500
20180713,2489.6700
20180712,2495.6200
20180711,2516.9600
20180710,2550.6400
20180707,2545.2800
20180706,2547.4200
20180705,2555.0100
20180704,2532.2500
20180703,2535.4400
20180630,2523.1900
20180629,2544.5800
20180628,2551.1300
20180627,2537.9000
20180626,2569.9200
20180623,2581.5500
20180622,2591.6100
20180621,2604.2400
20180620,2634.5400
20180619,2615.1000
20180616,2620.1800
20180615,2612.4500
20180614,2626.6500
20180610,2602.1800
20180609,2617.6600
20180608,2580.1300
20180607,2582.1500
20180606,2575.1600
20180605,2577.7300
20180602,2598.2400
20180601,2599.1100
20180531,2613.3500
20180530,2622.3100
20180529,2609.6800
20180526,2585.2200
20180525,2559.4400
20180524,2562.5200
20180523,2548.4500
20180522,2585.1600
20180519,2563.3800
20180518,2561.7300
20180517,2587.5000
20180516,2607.8600
20180515,2622.7800
20180512,2629.5100
20180511,2642.9500
20180509,2653.7800
20180508,2640.1800
20180505,2660.5500
20180504,2680.6000
20180429,2634.1900
20180428,2657.3900
20180427,2660.6200
20180426,2631.9000
20180425,2631.5400
20180424,2637.1500
20180421,2642.1800
